ID	source	mbfc	date	text	RE	HI	CO	MO	EC
0	redstate	right_bias	2019-12-02	"Climate Alarmists Want to Rebrand ""Climate Change"" to Something More Panic Inducing First, it was ""global warming"" and/or ""global cooling."" Then when they figured out that they couldn't accurately predict which way it was going to go, they settled on ""climate change."" Apparently, that phrase just doesn't have the oomph it once did, and the church of climate change wants to rebrand their apocalypse to make people far more scared and subsequently, obedient. An article by Aaron Hall in AdAge asked the question of whether or not people will be more apt to fall in line with the climate alarmists if they take out the neutral-sounding ""climate change"" and replace it with something you might hear Chicken Little screaming:Scientific terms often fail to resonate in meaningful ways. In the early 1900s, for example, no one had heard of the ""hypothesis of the primeval atom."" That changed in the 1940s when the term ""Big Bang"" was coined, which was a simpler, more relatable concept for the masses. This complex scientific concept is extremely well-known today because a better, more tangible term was applied to it. Can we use lessons from the naming of the Big Bang to rebrand ""climate change?""Interestingly, Hall notes that politicians liked ""global warming"" because it sounded dynamic and scary, but since it was ""too easy to poke holes in"" they decided to move on to climate change. People began joking about wanting global warming whenever it got too cold outside and the politicians, much like the devil himself, can't stand it when people laugh at them. Hall, being a ""professional namer,"" wondered allowed about whether or not people would take the church of climate change more seriously if he renamed it to sound scarier. He said that the new name needs to appeal to people who are unscientific to help them understand the severity of the problem and ""inspire them to make more eco-friendly life choices and pro-climate choices at the ballot box."" In other words, it needs to scare people into voting Democrat. What did his team of global namers come up with? A bunch of names that sound like bad B-Movie titles. These options are subtle brand shifts from ""global warming,"" yet they deliver a more negative image. The names signal that ice caps are melting, but also create a more visceral image in the mind — that real feeling of ""melting"" when it's too hot outside. A meltdown is a disastrous event that draws from the ultimate terror of a nuclear meltdown, an apt metaphor for global destruction. In naming, we call metaphorical names ""suggestive names,"" and they are one of the most popular types of names. Good brand names instill a clear message or even a direct call to action. Perhaps that's why climate change isn't powerful enough: ""Change"" sounds so neutral. However, there's nothing neutral about collapse or chaos. Both are states of events that you absolutely want to avoid. They ask each of us to do what it takes to avoid collapsing or descending into chaos. They both also use alliteration — using the same letter or sound at the beginning of connected words — a naming trick proven to enhance memorability. Arresting brand names often capitalize on vivid visual associations. They refer to a tipping point that we're catapulting toward and must find a way to avert. Because a boiling point is the point at which liquid vaporizes, it brings forth imagery of rivers, lakes and oceans boiling and disappearing. ""Melting Point"" paints a clear picture of solid matter melting. As glaciers melt and disappear, so does our way of life. It's time to take the gloves off and stop pretending. Sometimes a brand name needs to be hyperbolic to truly capture hearts and minds. If we don't take massive action now, Earth will be uninhabitable — an irreversible barren wasteland. Plants and animals will die. Humans won't be able to survive extreme weather like floods, droughts and fires. If we don't change, we won't even be able to spend time outside. ""Scorched Earth"" paints the direst picture of what's to come and what we must avoid and is likely the edgiest brand name from our exploration. Those were just the winners. Hall gives an honorable mention to these as well:Emission Critical: Focuses on the action we need to take: reducing emissions. Pre-Extinction: Powerful and suggests another mass extinction is imminent if we do not change our ways today. The Great Collapse: The collapse of ecosystems, economies and our way of life. Earthshattering: Creatively arresting — the complete destruction of the Earth as we know it. What's the takeaway from all this?Not that climate change is going to end the world. It's not. No real scientific data points to that fact. The takeaway here is that there are actually people out there trying to worry you into obedience and support for a leftist agenda, and in order to do that they're willing to play with your brain by changing up the words they use. As you see above, Hall even admits that they're willing to get hyperbolic in order to make you scared."	False	False	True	True	False
2	thedailycaller	right_bias	2019-01-22	"Ocasio-Cortez's Climate Alarm Isn't Shocking. She's Just Repeating Months Of Media Narrative Democratic New York Rep. Alexandria Ocasio-Cortez's claim the ""world is gonna end in 12 years"" shouldn't come as a shock to anyone because she's only repeating the same doomsday narrative pushed by some scientists and news outlets for months. In fact, Ocasio-Cortez followed up her remarks from Monday night with a couple tweets doubling down on her 12-year warning, but also showing she didn't make it up. The freshman Democrat pointed to a Vox article warning ""we have just 12 years to limit devastating global warming"" and a Guardian article claiming ""[w]e have 12 years to limit climate change catastrophe"" — both articles were based on a United Nations report from October 2018. That U.N. Intergovernmental Panel on Climate Change (IPCC) report examined what would need to be done in order to limit future global warming to 1.5 degrees Celsius by 2100. The report was mandated by the Paris climate accord. The IPCC reported greenhouse gas emissions would need to fall 45 percent below 2010 levels by 2030, and then reach zero by 2050 for a 66 percent chance of keeping projected warming below 1.5 degrees Celsius. (RELATED: Another Headline-Grabbing Ocean Warming Study Is Full Of 'Factual Errors And Misleading Statements,' Scientist Says)And in the months since that report, news has been inundated with headlines warning it's ""worse than we thought"" or the world's ice sheets are reaching a ""tipping point."" The most widely reported climate study in 2018 warned we were on track for a ""hothouse Earth."" Nearly ever natural disaster in 2018 were tied to global warming in some way, from California's devastating wildfires to hurricanes Florence and Michael. All the news stories stressing climate alarm spurred calls for action on global warming. However, many experts looking at the IPCC's report saw it as infeasible to completely overhaul the global ecology in 12 years, and there are serious questions about the accuracy of U.N. climate models. Yet, IPCC report authors framed this as a problem of ""political will,"" not economics and technology. The report itself says ""there is no documented historic precedent"" for the sweeping changes needed to fight global warming. That's the line activists and many politicians have taken up in the months since the IPCC's report. Indeed, Ocasio-Cortez said global warming is her generation's World War II. And what preceded World War II? The New Deal. Ocasio-Cortez now wants a Green New Deal to move the U.S. away from fossil fuels and address a variety of injustices she sees in our current economic system."" nd I think for younger people looking at this are more like, how are we saying let's take it easy when 3,000 Americans died last year, how are we saying let's take it easy when the end person died from our cruel and unjust criminal justice system?"" Ocasio-Cortez said at an event in New York City Monday night. Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact licensing@dailycallernewsfoundation. org."	False	False	False	False	False
3	redstate	right_bias	2019-07-20	"AOC Has Found Another Thing to Nonsensically Blame on the ""Climate Crisis"" Alexandria Ocasio-Cortez has found something else to blame on the supposed ""climate crisis.""A few weeks ago she let us all know that heavy rain in a city built on a swamp was absolute proof of catastrophic global warming. She posted a picture of a few inches of water and called it ""unprecedented flooding,"" even though Washington D.C. has had actual major floods several times throughout it's relatively short history. Then there was the explosion at an oil refinery, which despite not being a weather event at all (nor being caused by one), was somehow the fault of climate change. Weird how everything just so happens to reinforce her political narrative and now she's back with another hot take. You see, it rained in New York City and that was obviously caused by global warming. Did it rain a lot? No, not really. There was no record rainfall or a weeks worth of severe storms. It just…rained, something it has presumably been doing there for millions of years. In reality, New York City's subway system is a dumpster fire of mismanagement. The city's communist Mayor, Bill de Blasio, has run it into the ground with stupid financial decisions and misuse of funds. You see, they've got money to pay for illegal alien's healthcare, but they can't keep the trains running or the sewage systems from backing up. The flooding in this case wasn't because of a massive downpour. It was because the infrastructure is falling apart. If a pipe bursts in your house, that's not the fault of climate change. On a broader note, I'm confused. What happened to climate change leading to massive desertification and droughts? Now, the alarmists want to complain about rain and flooding, as if those are new phenomenons on the earth? Wouldn't those be good things in the face of supposed extreme heat?But making sense isn't a tenant of the climate religion.I've got a new twitter! Please help by following @bonchieredstate."	False	False	True	False	False
4	foxnews	right_bias	2019-04-30	"Watters on Beto's climate plan: He's a 'scam artist' who feels guilty about America's economic success ""The Five"" co-host Jesse Watters had some tough words for 2020 hopeful Beto O'Rourke after the former Texas representative proposed a $5 trillion climate change plan alongside the claim that the United States only had 10 years left to address the issue."" If someone calls you on the phone and says you're going to die in ten years unless you give me all your money, that's a scam,"" Watters said. ""He's a scam artist, and everybody knows it.""O'Rourke asserted his controversial, 10-year prediction while appearing on MSNBC on Monday. He told host Chris Hayes that he sought to reach net zero greenhouse gas emissions by 2050. During that appearance, he indicated that he would have to make himself an opponent of the oil and gas industries' interests. ""We know that certain oil and gas corporations have been fighting public policy on this issue, have been hiding their own science and research at the expense of our climate and human life,"" he said. OCASIO-CORTEZ CALLS CLIMATE CHANGE OUR 'WORLD WAR II,' WARNS THE WORLD WILL END IN 12 YEARS""So whenever those two things come in contrast or in opposition, I'm always going to choose the people of this country."" O'Rourke also said that he wanted people in the fossil fuel industry to act as partners in reaching his goal."" You have a $21 trillion U.S. economy, the fossil fuel industry runs this economy, it's created all of this wealth, revolutionized transportation, communications, industry, lifted people out of poverty,"" Watters said."" Beto, who's done nothing except lose to [Sen.] Ted Cruz, [R-Texas], comes up and says I'm going to take $5 trillion and I'm going to reverse everything and change it all. He's no Einstein, he's no Carnegie. Where does he get off thinking he's going to stop human progress?"" Watters asked. CLICK HERE TO GET THE FOX NEWS APPHe went on to speculate that O'Rourke pushed his climate plan because he felt ""guilty"" about the American economy's success because ""he and other liberals have not had enough input in it.""O'Rourke's program was an ambitious endeavor similar to Rep. Alexandria Ocasio-Cortez's, D-N.Y., ""Green New Deal,"" which many saw as too expensive and unrealistic. When Ocasio-Cortez responded to O'Rourke's plan, she said he didn't have an aggressive enough timeline."	False	False	True	False	True
9	foxnews	right_bias	2019-04-03	"GOP Rep. Matt Gaetz unveils 'Green Real Deal,' as conservative answer to AOC pet project Republican Rep. Matt Gaetz unveiled the ""Green Real Deal"" on Wednesday as a free-market counterproposal to the Green New Deal being pushed by Democrats to combat climate change."" he question for America is pretty simple: either we want a bunch of bureaucrats in Washington telling us what we can't do, or we empower American innovators to unlock things that we can do,"" the Florida congressman said at a press conference in front of the Capitol building. AOC MOCKS CRITICS OF GREEN NEW DEAL'S ESTIMATED $93 TRILLION PRICE TAG: 'THEY SOUND LIKE DR. EVIL'His plan, which he is putting forward in a House resolution, involves a number of planks including revisiting global trade and intellectual property policies to create ""an international marketplace fair to American innovators."" Gaetz's plan also aims to modernize the electric grid, which he says currently ""functions as a wet blanket over American innovation."" Gaetz claims that upgrading the grid will create an ""entire class of energy entrepreneurs across the country."" He also wants to ""unlock federal lands"" from current regulations, saying they can be ""an open canvas"" for renewable energy research, testing and evaluation. The plan comes in response to the Green New Deal, a once-fringe policy that seeks to overhaul the nation's economy and energy use to combat climate change and combat income inequality. But this year it has emerged in the Democratic mainstream, with a resolution introduced in the House and support from most major 2020 Democratic presidential candidates. However, a test vote on the proposal recently failed in the Senate with no senator voting to begin debate on the legislation. The proposal includes a host of costly and controversial big-government programs -- including a push for net-zero greenhouse gas emissions, universal health care and job guarantee programs. In the press conference, Gaetz made references to FAQs released by Rep. Alexandria Ocasio-Cortez's, D-N.Y., office that said the deal aims to ""upgrade or replace every building"" for energy efficiency and render air travel unnecessary, while joking about getting rid of ""farting cows."" Do we really believe that if we outlaw cars, cows, planes and buildings that the rest of the world will follow?"" he said. ""Of course not, they will laugh at us."" While Gaetz's proposal consists of free-market and small-government ideas of the kind Republicans have long embraced, the plan is a notable shift for the party toward tackling climate change in some fashion. Traditionally, Republicans have been more skeptical about man's influence on the climate. Environmental Protection Agency Administrator Andrew Wheeler was asked in January at his confirmation hearing if he believed warnings from scientists about the threats of climate change.""  would not call it the greatest crisis, no"" he said. In an indication of likely conservative opposition to Gaetz's plan, advocacy group FreedomWorks issued a statement calling it a ""sad example of Republicans thinking they're conservatives by being slightly to the right of far left."" What's more, it is presented as a collection of bold, new ideas yet most of them are policies and programs that exist and aren't working. This is perhaps the only thing 'real' about the 'Green Real Deal,'"" the statement said. CLICK HERE TO GET THE FOX NEWS APPGaetz said at the press conference that he doesn't think the EPA has done a good job of combating climate change and said he wants to shift the debate among Republicans -- from focusing on the existence of climate change, to how to combat it.""I didn't come to Congress to argue with a thermometer and I think that more of my colleagues need to realize that the science of global warming is irrefutable,"" he said."	True	False	True	False	True
10	drudgereport	right_bias	2019-07-25	"POLL: Dems, Republicans can't even agree on weather! NEW YORK (Reuters) - Only 200 miles separate Michael Tilden and Miranda Garcia in rain-soaked Iowa. But they are worlds apart when it comes to their opinion of the weather. Garcia, a 38-year-old former journalist and Democrat from Des Moines, thinks flooding has been getting worse in the state, which just came out of its wettest 12-months on record. Tilden, a 44-year-old math teacher and Republican from Sioux City, thinks otherwise: ""I've noticed essentially the same weather pattern every single year,"" he said. Their different takes underscore a broader truth about the way Americans perceive extreme weather: Democrats are far more likely to believe droughts, floods, wildfires, hurricanes and tropical storms have become more frequent or intense where they live in the last decade, according to a Reuters/Ipsos poll. The divergence shows how years of political squabbling over global warming - including disputes over its existence - have grown deep roots, distorting the way Americans view the world around them. The divide will play into the 2020 election as Democratic hopefuls seek to sell aggressive proposals to reduce or even end fossil fuel consumption by drawing links between climate change and recent floods, storms and wildfires. Nearly two-thirds of Democrats believe severe thunderstorms and floods have become more frequent, compared to 42% and 50% of Republicans, respectively, according to the poll. About half of Democrats, meanwhile, think droughts, hurricanes and tropical storms are more common in their region, versus less than a third of Republicans, according to the poll. Similarly, nearly seven in 10 Democrats said in the poll that severe weather events such as thunderstorms have become more intense, compared to 4 of 10 Republicans. And nearly half of Republicans said there has been no change in the intensity of severe weather over the past decade, versus a fifth of Democrats. The Reuters/Ipsos poll was conducted online in English between June 11 and 14 and gathered responses from 3,281 people. It has a credibility interval, a measure of precision, of 2 percentage points up or down.U.S. government researchers have concluded that tropical cyclone activity, rainfall, and the frequency of intense single-day storms have been on the rise, according to data compiled by the Environmental Protection Agency. For example, six of the 10 most active years for tropical cyclones in the Atlantic basin since 1950 have occurred since the mid-1990s, and nine of the top 10 years for extreme one-day precipitation events nationwide have occurred since 1990, according to the data."" e do expect to see more intense storms,"" said David Easterling, a spokesman for the National Oceanographic and Atmospheric Administration's National Centers for Environmental Information. An overwhelming majority of scientists believe human consumption of fossil fuels is driving sweeping changes in the global climate by ramping up the concentration of heat-trapping gases in the atmosphere. But it is impossible to draw a direct link between the changes in U.S. weather in the recent past to the larger trend of warming. President Donald Trump has cast doubt on the science of climate change, saying he believes that research into its severity, causes and effects is not yet settled. Two years ago he announced the United States would withdraw from a global pact to reduce carbon emissions, the Paris Climate Agreement, a deal Trump said could damage the U.S. economy. Still, a majority of Republicans believe the United States should take ""aggressive action"" to combat global warming, Reuters polling shows. Some Republican lawmakers have offered proposals for ""market-based"" approaches to fend off climate change, such as cap-and-trade systems that would force companies to cut carbon emissions or buy credits from those that do. Democrats are pushing more aggressive ideas. Nearly all of the party's presidential hopefuls, who seek to unseat Trump in next year's election, have put forward proposals to end U.S. fossil fuels consumption within a few decades to make the country carbon neutral. Trump has slammed the idea, saying it would ""kill millions of jobs"" and ""crush the dreams of the poorest Americans."" Jennifer Marlon, a research scientist at the Yale Program on Climate Change Communication, said the divergence in the way American perceive the weather is being driven by factors including the news they consume and their social circles. Liberals are more likely to expose themselves to news outlets and people who believe climate change is an urgent threat that affects current weather patterns. For more conservative Americans, the link between weather and climate change is ""not a typical conversation,"" Marlon said. Last year, the Yale program - which carries out scientific research on public knowledge about climate change - set out to map the partisan divide on how people perceive the effects of global warming across the United States. It found that 22% of Republicans reported personally experiencing climate change, compared to 60% of Democrats. Scientists and researchers at the University of Michigan, the University of Exeter and others came to a similar conclusion in a 2018 study which found that political bias and partisan news reporting can affect whether people indicate experiencing certain extreme weather events."	False	False	True	False	False
11	drudgereport	right_bias	2019-08-23	Tribe looks on helplessly as rainforest is destroyed by man and fire... These devastating images show an indigenous family surveying the ruins of their homeland in the Amazon rainforest. Surrounded by dry soil and fallen timber, their native land has been all-but destroyed by rapid deforestation. During the day, the usually-fierce sun is obscured by a thick, grey smoke caused by deliberately-lit wildfires that are raging out of control across Brazil. The smell is of barbecue, caused by vast swathes of the world's largest tropical rainforest going up in flames. Raimundo Mura, indigenous leader with the Mura tribe who live in a reserve near Humaita, Amazonas state said: 'For the forest, I will go on until my last drop of blood.'All the trees had lives, they all needed to live, each in their own place.'For us this is destruction. What is being done here is an atrocity against us.'The rainforest is home to some one million indigenous people and three million species of plants and animals. But it is being decimated at record rates – burnt or cleared for farming and mining. Scientists have recorded more than 74,000 fires in Brazil this year – an 84% increase compared to the same period last year. They can now be seen from space and have plunged the largest city Sao Paulo into darkness because of the heavy smoke. In total, the blazes have created a layer of smoke estimated to be 1.2 million square miles wide that spreads across Latin America to the Atlantic coast. Handech Wakana Mura, another local leader within the forest, said: 'With each passing day we see the destruction advance – deforestation, invasion and logging.'We are sad because the forest is dying at every moment.'We feel the climate changing and the world needs the forest.'We need the forest and our children need the forest.'Environmentalists and academics have blamed the Brazilian government, under far-right President Jair Bolsonaro, for a sharp increase in Amazon deforestation. The climate change sceptic swept to power in January promising to open up the Amazon to mining and farming. His rhetoric is said to have emboldened farmers to burn large sections of the rainforest for beef and soy production. Camila Veiga of the Brazilian Association of NGOs said: 'The fires are the consequence of a policy of environmental devastation, of support for agribusiness, of increasing pastures.'The fires have been raging for around three weeks and an area the size of a football pitch is said to be lost every minute. Global concern is growing as the rainforest is key to tackling global warming because of the way it absorbs carbon dioxide and releases oxygen. Mr Bolsonaro largely ignored the issue at first and even attempted to blame environmental charities, accusing them of lighting the fires. Opposition MPs have said the raging infernos are a 'crime against humanity' and blamed his policies for fuelling the blazes. French President Emmanuel Macron had called the wildfires an international crisis and said the leaders of the G7 group of nations should hold urgent discussions about them during their summit in France this weekend. Mr Macron tweeted: 'Our house is burning. Literally. The Amazon rain forest – the lungs which produces 20% of our planet's oxygen – is on fire.'Mr Bolsonaro hit back at Macron, complaining he was the subject of a smear campaign and the media had exploited the fires to undermine his government. His chief of staff, Onyx Lorenzoni, also accused European countries of exaggerating environmental problems in Brazil in order to disrupt its commercial interests. Relations between Europe and Brazil are at a low, which has worried the powerful agriculture sector. Last week, Norway joined Germany in halting $60 million worth of Amazon protection subsidies, accusing Brazil of turning its back on the fight against deforestation. French and German leaders have also threatened not to ratify a trade deal between the European Union and Mercosur countries (Argentina, Brazil, Paraguay and Uruguay) to pressure Brazil into complying with its environmental pledges within the Paris Climate Agreement. In contrast, the UK is currently on a trade mission in Brazil attempting to forge closer ties post-Brexit. The neighbouring country of Bolivia is also struggling with wildfires, many believed to have been set by farmers clearing land for cultivation.	False	True	True	False	True
12	foxnews	right_bias	2019-04-10	"Trump signs executive orders making it tougher for states to block pipeline construction President Trump on Wednesday signed two executive orders that will make it harder for states to block the construction of oil and gas pipelines and other energy projects due to environmental concerns. Coming on the heels of officials in Washington state and New York using permitting processes to stop new energy projects in recent years – and at the urging of some industry leaders – Trump's executive order will speed up the construction of oil and gas pipelines across the country."" y action today will cut through the destructive permitting and denials,"" Trump said during the signing of the executive orders at the International Union of Operating Engineers International Training and Education Center, a union-run facility in Crosby, Texas. ""Under this administration, we've ended the war on American energy."" It will take no more than 60 days,"" Trump said of the approval process for new pipelines, ""and the president, not the bureaucracy, will make the final decision."" While the move was greeted warmly by members of the country's oil and gas industries, it is likely to rankle some more traditional conservative lawmakers – including several Republican governors - worried about the federal government impinging on individual state rights and governance. The White House has sought to stave off any discord by arguing that the order is not meant to take power away from the states, but to ensure that state actions follow the intent of the Clean Water Act. Trade groups representing the oil and gas industry applauded the orders and said greater access to natural gas benefits families and the environment."" When states say 'no' to the development of natural gas pipelines, they force utilities to curb safe and affordable service and refuse access to new customers, including new businesses,"" said Karen Harbert, president and CEO at the American Gas Association. Trump's move comes less than a week after nearly a dozen business groups told EPA Administrator Andrew Wheeler that the environmental review and permitting process for energy infrastructure projects ""has become a target for environmental activists and states that oppose the production and use of fossil fuels."" The groups said in an April 5 letter that individual states shouldn't be able to use provisions of the Clear Air Act ""to dictate national policy, thereby harming other states and the national interest and damaging cooperative federalism."" Washington state blocked the building of a coal terminal in 2017, saying there were too many major harmful impacts including air pollution, rail safety and vehicle traffic. New York regulators stopped a natural gas pipeline, saying it failed to meet standards to protect streams, wetlands and other water resources. Under Section 401 of the Clean Water Act, companies must get certification from the state before moving ahead with an energy project. One of Trump's planned executive orders calls for the Environmental Protection Agency to consult with states, tribes and others before issuing new guidance and rules for states on how to comply with the law. Environmental groups described Trump's order as an effort to short-circuit a state's ability to review complicated projects, putting at risk a state's ability to protect drinking water supplies and wildlife."" The Trump Administration's proposal would trample on state authority to protect waters within their own borders,"" said Jim Murphy, senior counsel for the National Wildlife Federation. CLICK HERE TO GET THE FOX NEWS APPThe private Center for Biological Diversity said Wednesday's actions would mark the fourth time Trump has used executive orders to streamline permits for fossil-fuel infrastructure."" Trump's developing an addiction to executive orders that rubberstamp these climate-killing projects,"" said Brett Hartl, government affairs director at the center. The second executive order Trump signed on Wednesday streamlines the process for energy infrastructure that crosses international borders. Currently, the secretary of state has the authority to issue permits for cross-border infrastructure such as pipelines. The executive order clarifies that the president will make the decision on whether to issue such permits. The move follows Trump's decision last month to issue a new presidential permit for the long-stalled Keystone XL oil pipeline — two years after he first approved it and more than a decade after it was first proposed. The Associated Press contributed to this report."	False	False	True	False	False
13	thedailycaller	right_bias	2019-04-17	"TIME 100 List Includes 16-Year-Old Climate Activist Who Says A 'Sixth Mass Extinction' Is Upon Us TIME listed Greta Thunberg, a 16-year-old climate change activist, on its list of the 100 most influential people of 2019. Thunberg, who says she has Asperger syndrome, gained prominence for ditching school every Friday to protest outside Swedish parliament. The teenager warned in a high-profile speech to the United Nations last year that ""we need to keep the fossil fuels in the ground"" or face catastrophe. Thousands of students in Europe and the U.S. ditched school to demand government action on climate change in February. American student activists, led by the daughter of Democratic Minnesota Rep. Ilhan Omar, demanded a Green New Deal, the legislation sponsored by New York Democratic Rep. Alexandria Ocasio-Cortez."" reta Thunberg saw her power in us, and we in turn see our power in her,"" March for Our Lives co-founder Emma González wrote of Thunberg for TIME, adding that ""Greta is inspiring steadfast students and shaming apathetic adults."" Climate change is our reality, and youth activists like Greta are doing everything within their power to work against it, and demand a change,"" González wrote. Thunberg's prominence has only grown, as has the alarm of her message. Thunberg even met with Pope Francis, who issued an encyclical on global warming in 2015. (RELATED: Another Canadian Province Boots Liberals Out Of Power Over Carbon Taxes)Environmentalists, even some climate scientists, are increasingly promoting Thunberg's actions in an effort to draw more young people into climate activism. European politicians invited Thunberg to bring her call for urgent action on global warming to lawmakers.""  want you to act as if the house was on fire,"" Thunberg said in a speech to European Parliament Tuesday."" e are in the middle of the sixth mass extinction, and the extinction rate is 10,000 times faster than what is considered normal, with up to 200 species becoming extinct every single day,"" said a teary-eyed Thunberg."" rosion of fertile topsoil, deforestation of the rainforest, toxic air pollution, loss of insects and wildlife, acidification of our oceans, these are all disastrous trends,"" said Thunberg, barely able to keep her tears back. Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact licensing@dailycallernewsfoundation. org."	False	False	False	False	False
19	thedailycaller	right_bias	2019-02-22	"Late-Night Deal Breaks Deadlock Over Natural Gas Exports. The Trump Administration Is Ecstatic The Federal Energy Regulatory Commission (FERC) broke a two-year partisan deadlock Thursday night to approve a liquefied natural gas (LNG) export terminal in Louisiana. Top Department of Energy (DOE) officials said this was a major breakthrough that will alleviate a growing problem for U.S. energy producers — a lack of export infrastructure."" e have been promoting US energy around the world and today's decision by the FERC is a very important one,"" DOE Deputy Secretary Dan Brouillette told The Daily Caller News Foundation in an interview. (RELATED: US Oil Output Hits 12 Million Barrel-A-Day Milestone Way Ahead Of Schedule)The Calcasieu Pass LNG export terminal is the first such project to get FERC approval in two years. Republican FERC commissioners Neil Chatterjee, the chairman and Bernard McNamee worked with Democrat Cheryl LaFleur to hash out an agreement to get her support. Chatterjee and McNamee needed LaFleur's vote to approve Calcasieu Pass, which they secured after working out a new approach to account for greenhouse gas emissions from the export facility."" his is a tremendous breakthrough,"" DOE Under Secretary of Energy Mark Menezes told TheDCNF. ""We hope it will serve as an analytical template going forward."" Once complete, Calcasieu Pass terminal will export up 12 million metric tons of LNG a year. Brouillette said the project already has buyers, including in Europe, waiting for American natural gas. Hydraulic fracturing and horizontal drilling spurred an oil and natural gas boom over the past decade, making the U.S. the world's top hydrocarbon producer. However, a limiting factor on oil and gas is the lack of export terminals and pipelines. Menezes said breaking FERC's deadlock was also an important step in helping DOE improve its own LNG terminal approval process, including ""making sure there's no duplicative reviews."" Getting approval to build an LNG export terminal is a long, complicated process that requires approval from multiple agencies. FERC currently has a backlog of a dozen LNG projects awaiting approval. (RELATED: Obama EPA Regulations Blamed For Closure Of 100-Year-Old Coal Plant)The Trump administration has been pushing for speedier approvals for LNG terminals, but FERC has been holding up the process amid pressure from environmental groups to factor global warming into its approval process. LaFleur, for example, called on FERC to factor in estimates, like the controversial ""social cost of carbon,"" for a cost-benefit analysis. However, LaFleur agreed to compromise with her Republican colleagues. FERC's other Democratic commissioner Richard Glick opposed the terminal, arguing his colleagues were ""deliberately ignoring the consequences that its actions have for climate change."" The commission's environmental review of Calcasieu Pass found the facility would emit roughly 3.9 million metric tons of carbon dioxide emissions a year — about 0.07 percent of total U.S. emissions. Brouillette argued that while an individual LNG export terminal would emit greenhouse gases, it would help lower global emissions because countries want gas as an alternative to coal."" o the extent that LNG is displacing coal around the world, we think the impact is going to be positive,"" Brouillette said. Brouillette also stressed the geopolitical implications of LNG exports and the role energy could play in President Donald Trump's foreign policy."" hese are decisions that impact the president's ability to make foreign policy decisions,"" Brouillette told TheDCNF. ""We get to assist Poland, we get to assist Lithuania, we get to assist the Baltic states."" Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact licensing@dailycallernewsfoundation. org."	True	False	True	False	False
