ID	entity	group	role	mbfc	RE	HI	CO	MO	EC
0	climate alarmists	ENV.ORGS_ACTIVISTS	villain	right_bias	False	False	True	True	False
0	they	ENV.ORGS_ACTIVISTS	villain	right_bias	False	False	True	True	False
0	people who are unscientific	GENERALPUBLIC	victim	right_bias	False	False	True	True	False
2	climate alarmism	ENV.ORGS_ACTIVISTS	villain	right_bias	False	False	False	False	False
2	Democratic New York Rep. Alexandria Ocasio	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	False	False	False
2	Democratic New York Rep. Alexandria Ocasio-Cortez's	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	False	False	False
2	the U.S.	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	False	False	False	False	False
3	climate alarmism	ENV.ORGS_ACTIVISTS	villain	right_bias	False	False	True	False	False
3	a city built on a swamp	GENERALPUBLIC	victim	right_bias	False	False	True	False	False
3	Alexandria Ocasio-Cortez	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
3	Alexandria Ocasio-Cortez	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
4	O'Rourke	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	True
4	U.S Economy	INDUSTRY_EMISSIONS	victim	right_bias	False	False	True	False	True
4	Watters	MEDIA_JOURNALISTS	hero	right_bias	False	False	True	False	True
4	human progress	GREEN_TECHNOLOGY_INNOVATION	victim	right_bias	False	False	True	False	True
9	climate change	CLIMATECHANGE	villain	right_bias	True	False	True	False	True
9	Republican Rep. Matt Gaetz	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	right_bias	True	False	True	False	True
9	Republican Rep. Matt Gaetz	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	True	False	True	False	True
9	Green New Deal	LEGISLATION_POLICIES_RESPONSES	villain	right_bias	True	False	True	False	True
10	fossil fuel consumption	INDUSTRY_EMISSIONS	villain	right_bias	False	False	True	False	False
10	Carbon neutrality	LEGISLATION_POLICIES_RESPONSES	hero	right_bias	False	False	True	False	False
10	news	MEDIA_JOURNALISTS	villain	right_bias	False	False	True	False	False
11	the Amazon rainforest	ANIMALS_NATURE_ENVIRONMENT	victim	right_bias	False	True	True	False	True
11	Indigenous people of Brazil	GENERALPUBLIC	victim	right_bias	False	True	True	False	True
11	Mura	GENERALPUBLIC	hero	right_bias	False	True	True	False	True
11	far-right President Jair Bolsonaro	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	True	True	False	True
11	President Jair Bolsonaro	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	True	True	False	True
11	Deforestation	INDUSTRY_EMISSIONS	villain	right_bias	False	True	True	False	True
11	EU environmental subsidies	LEGISLATION_POLICIES_RESPONSES	hero	right_bias	False	True	True	False	True
12	drinking water supplies	ANIMALS_NATURE_ENVIRONMENT	victim	right_bias	False	False	True	False	False
12	wildlife	ANIMALS_NATURE_ENVIRONMENT	victim	right_bias	False	False	True	False	False
12	individual states	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	False	False	True	False	False
