The situation is chaotic people are running on the streets and buildings collapsed.	Video on social media shows people screaming and fleeing in panic and a mosque amongst the buildings damaged.	The 2004 tsunami triggered by an earthquake off the Indonesian island of Sumatra killed 226000 across the Indian Ocean including more than 120000 in Indonesia.	There is a ship washed ashore she added.	Last month a series of earthquakes struck the Indonesian island of Lombok killing hundreds of people the biggest on 5 August killed more than 460.	True
ProfessorDirzo a professor of biology at Stanford said 'The borderis an ecological theater where evolution has engendered a plethora of plays.	ProfessorDirzo a professor of biology at Stanford said 'The bordersis an ecological theatre where evolution has engendered a plethora of plays.	One of its authors a leading professor from Stanford condemned the US border wall project branding it a 'crime against biodiversity'.	Analysis of the animals that reside in the region reveals the controversial wall could threaten the movement of 1500 animal and plant species that reside in the area.	The authors conclude that 'national security can and must be pursued with an approach that preserves our natural heritage.'	True
Like this story?	Meanwhile some NGOs have questioned the economic rationale behind the sale arguing that the way in which federal assets are sold off does not serve the best interests of US taxpayers.	he said.	Critics of the sale fear the expansion in offshore drilling could devastate marine life and lead to roll backs in environmental protections.	The Center for American Progress a left leaning policy think tank has echoed this statement saying in a statement that offering a nearly unrestricted supply in a low demand market with a cut rate royalty and almost no competition is bad policy and an inexcusable waste of taxpayer resources.	False
introduced a formal resolution on it which stalled in the Senate but drewsupport from a number of 2020 hopefuls.	In a nod to the social justice part of the plan he says that the deal is an opportunity to uproot historical injustices and inequities to advance social racial and economic justice including redressing the exclusion of black brown Native Americanand other vulnerable communities from the programs that made up the original New Deal.	As president Bernie Sanders will launch the decade of the Green New Deal a ten year nationwide mobilization centered around justice and equity during which climate change will be factored into virtually every area of policy from immigration to trade to foreign policy and beyond his campaign said in a press release.	The plan also promises support for the climate justice movement to take on the fossil fuel industry and other polluters and lead the globe in solving the climate crisis.	He also promises justice for frontline communities via a 40 billion Climate Justice Resiliency Fund as well as an extra 200 billion to the Green Climate Fund.	True
Driven by an anti immigrant agenda the Trump administration is callously putting construction of an environmentally and culturally destructive border wall above water resources for communities on both sides of the border federally protected lands clean air and the lives of hundreds of endangered species all while turning a blind eye to the vital relationships of cross border communities and our longstanding values as a nation she said in a statement.	Trumps wall is a divisive symbol of fear and hatred and it does real harm to the landscape and communities.	Trump wants to scare people into letting him ignore the law and endanger wildlife and people Brian Segee an attorney with the Center for Biological Diversity said in a statement.	Despite sidestepping these laws DHS is committed to responsible environmental stewardship and will continue to assess potential impacts coordinate with relevant stakeholders and to the extent possible offset or mitigate potential impacts department spokesman Carlos Diaz said in an email to HuffPost.	It described the sector which includes some 60 miles of the U.S. Mexico border as an area of high illegal entry for which there is an immediate need to improve current infrastructure and construct additional border barriers and roads.	True
But this has nothing to do with the Paris climate accord.	Everything Schwarzenegger mentions in his short videofrom air pollution to clean water to asthma emphysema and canceris completely unrelated to the Presidents decision to withdraw from the Paris accord.	President Trump says hes pulling out of the Paris climate agreement.	My message to you Mr. President is that as a public servant and especially as a president your first and most important responsibility is to protect the people Schwarzenegger begins.	Meanwhile he should probably think about terminating that video.	False
So the question of whether the US should actually pull out of the agreement has reportedly been the subject of intense debate within the Trump administration.	The Associated Presss Jill Colvin and Julie Pace though report that Trumps decision may not be entirely clear cut and that aides continued to deliberate on caveats in the language.	The major Republican presidential candidates harshly criticized the Paris deal in particular and Trump promised to withdraw from it during the campaign.	Still withdrawing from such a recent agreement that the vast majority of countries across the world have signed on to has serious consequences for Americas role as a global leader.	Silicon Valley business leaders like Apple CEO Tim Cook and Tesla CEO Elon Musk have also been arguing that the US should stick to the agreement.	True
What we need now is global political will and a new sense of urgency.	It is very worrying.	Despite the declaration by President Trump that he intends to take the US out of the deal negotiators meeting in Germany will be aiming to advance and clarify the rulebook of the Paris agreement.	It may be a climate change feedback.	This was not expected in the Paris agreement.	True
Its bloody combat.	But there is perhaps no area where California has been more combative against the White House agenda than the environment.	California Gov.	Jerry Brown ramped up his criticism of President Trump in an interview that aired Monday calling the president a saboteur in the fight to combat climate change and saying that somethings got to happen to this guy.	Speaking to MSNBCs Andrea Mitchell at an environmentalsummitin San Francisco last week Brown tore into Trump for the presidents controversial tweets about the death toll in Puerto Rico from last years Hurricane Maria and urged voters to vote for Democrats in Novembers midterm elections in an effort to thwart Trumps agenda.	True
The environmental activist's recent images taken while touring Canada's east coast in Montreal and Quebec are in sharp contrast to images of the 16 year old speaking in an emotionally charged appearance last month at the Climate Action Summit 2019 in New York.	Last week Thunberg addressed on social media the negativity she's received for speaking out on climate change saying 'Here we go again... As you may have noticed the haters are as active as ever going after me my looks my clothes my behaviour and my differences.	You are failing us.	Right here right now is where we draw the line.	Greta Thunberg's fiery speech at the UN Climate Action Summit in New York This is all wrong.	True
Both lawmakers were responding to a question asked by Axios Amy Harder during the event.	Theres a resolution that has a dream but theres no bill theres no contents at all.	The top lawmakers on the Senate Committee on Energy and Natural Resources were unified in their opposition to the Green New Deal and unreadiness to back taxes on carbon dioxide emissions.	Murkowski said the Green New Deal was distracting from bipartisan efforts to fight global warming.	Republicans on the other hand want to get Democrats on the record in support of a proposal they see as socialism.	True
