There is a ship washed ashore she added.	The situation is chaotic people are running on the streets and buildings collapsed.	Video on social media shows people screaming and fleeing in panic and a mosque amongst the buildings damaged.	The 2004 tsunami triggered by an earthquake off the Indonesian island of Sumatra killed 226000 across the Indian Ocean including more than 120000 in Indonesia.	The dramatic video footage of the tsunami hitting Palu shows the high waves sweeping away several buildings and then the large tilted mosque in the town about 80km from the quake's epicentre.	True
The authors conclude that 'national security can and must be pursued with an approach that preserves our natural heritage.'	More than 2500 experts from around the world have rallied around the new study championing its importance.	One of its authors a leading professor from Stanford condemned the US border wall project branding it a 'crime against biodiversity'.	The research paper also calls for the government to encourage scientific research in the borderlands to inform and assist environmental evaluation and mitigation efforts.	Some of the recommendations include Following existing environmental laws taking action to mitigate ecological harm and forgoing physical barriers in particularly sensitive areas.	False
Like this story?	Meanwhile some NGOs have questioned the economic rationale behind the sale arguing that the way in which federal assets are sold off does not serve the best interests of US taxpayers.	The Center for American Progress a left leaning policy think tank has echoed this statement saying in a statement that offering a nearly unrestricted supply in a low demand market with a cut rate royalty and almost no competition is bad policy and an inexcusable waste of taxpayer resources.	People need jobs the Gulf Coast states need revenue and Americans do not want to be dependent on foreign oil.	The Project on Government Oversight warned in February that the uncompetitive lease system used by the government to auction sites allows energy companies to secure offshore leases for a pittance.	False
This year it was given a big push in Congress when Rep. Alexandria Ocasio Cortez D N.Y. and Sen. Ed Markey D Mass.	SANDERS CALLS FOR 'REGISTRY OF DISREPUTABLE FEDERAL LAW ENFORCEMENT OFFICERS' CUTTING PRISON POPULATION IN HALF The Vermont senator has long been an advocate for the Green New Deal but only this year has it become a central policy for many of those seeking the Democratic nomination for president.	introduced a formal resolution on it which stalled in the Senate but drewsupport from a number of 2020 hopefuls.	In a nod to the social justice part of the plan he says that the deal is an opportunity to uproot historical injustices and inequities to advance social racial and economic justice including redressing the exclusion of black brown Native Americanand other vulnerable communities from the programs that made up the original New Deal.	The plan also promises support for the climate justice movement to take on the fossil fuel industry and other polluters and lead the globe in solving the climate crisis.	False
Trump wants to scare people into letting him ignore the law and endanger wildlife and people Brian Segee an attorney with the Center for Biological Diversity said in a statement.	Driven by an anti immigrant agenda the Trump administration is callously putting construction of an environmentally and culturally destructive border wall above water resources for communities on both sides of the border federally protected lands clean air and the lives of hundreds of endangered species all while turning a blind eye to the vital relationships of cross border communities and our longstanding values as a nation she said in a statement.	Despite sidestepping these laws DHS is committed to responsible environmental stewardship and will continue to assess potential impacts coordinate with relevant stakeholders and to the extent possible offset or mitigate potential impacts department spokesman Carlos Diaz said in an email to HuffPost.	It described the sector which includes some 60 miles of the U.S. Mexico border as an area of high illegal entry for which there is an immediate need to improve current infrastructure and construct additional border barriers and roads.	Trumps wall is a divisive symbol of fear and hatred and it does real harm to the landscape and communities.	False
We cant sit back and just do nothing while people are getting sick and dying especially when you know theres another way.	My message to you Mr. President is that as a public servant and especially as a president your first and most important responsibility is to protect the people Schwarzenegger begins.	It deals specifically with reducing greenhouse gas emissions particularly carbon dioxide CO2 with the stated objective of combatting global warming.	Meanwhile he should probably think about terminating that video.	He then proceeds to chronicle the negative effects of pollution in the United States.	False
The Associated Presss Jill Colvin and Julie Pace though report that Trumps decision may not be entirely clear cut and that aides continued to deliberate on caveats in the language.	Silicon Valley business leaders like Apple CEO Tim Cook and Tesla CEO Elon Musk have also been arguing that the US should stick to the agreement.	For years now its been clear that blocking environmental regulations and obstructing action on climate change are top Republican Party priorities.	Still withdrawing from such a recent agreement that the vast majority of countries across the world have signed on to has serious consequences for Americas role as a global leader.	So the question of whether the US should actually pull out of the agreement has reportedly been the subject of intense debate within the Trump administration.	False
What we need now is global political will and a new sense of urgency.	It is very worrying.	The numbers don't lie.	It may be a climate change feedback.	Prof Nisbet says there is a fear of a vicious cycle where methane drives up temperatures which in turn releases more methane from natural sources.	False
The Associated Press contributed to this report.	We're for clean air and water but at the same time we're for reasonable regulations Deputy Interior Secretary David Bernhardt told reporters.	California Gov.	Speaking to MSNBCs Andrea Mitchell at an environmentalsummitin San Francisco last week Brown tore into Trump for the presidents controversial tweets about the death toll in Puerto Rico from last years Hurricane Maria and urged voters to vote for Democrats in Novembers midterm elections in an effort to thwart Trumps agenda.	Its bloody combat.	True
Because if you fully understood the situation and still kept on failing to act then you would be evil.	You say you hear us and that you understand the urgency.	People are suffering.	Because these numbers are too uncomfortable.	The world is waking up.	False
Theres a resolution that has a dream but theres no bill theres no contents at all.	Republicans on the other hand want to get Democrats on the record in support of a proposal they see as socialism.	Manchin a Democrat appeared alongside Alaska Sen. Lisa Murkowski a Republican at the event hosted by the consulting firm IHS Markit.	Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience.	Murkowski chairs the Senate energy committee and Manchin is the ranking Democrat.	True
My question is Why us?	How are they going to get there?	And in a visit last week to East Chicago Indianawhich is grappling with a lead contamination crisis affecting both the water and soil Pruitt reportedly denied to a resident of the town that Region 5 was on the chopping block.	And to be honest thats why its being suggested the employee said.	There are a lot of folks who simply wont do the move.	True
The lawsuit was filed in the U.S.	Circuit Court of Appeals for the District of Columbia.	The world is not flat pollution is not free and the health and safety of our children is not for sale said Democratic state Attorney General Xavier Becerra standing alongside the governor.	Brown who has made fighting climate change a core of his policy and political platform said the state's battles with Washington over climate are the most essential.	Pruitt who has sought to block or delay an array of environmental regulations has argued that assumptions about gas prices and vehicle technology used by the Obama administration to set the standards were too optimistic.	True
The Associated Press contributed to this report.	Norway's largest pension fund with 53 billion euro 59.5 billion in assets under its management said it would continue to invest in renewable energy despite the American president's decision saying in a statement that Donald Trump is jumping off a train that has already left the station.	Fox who has clashed with Trump since last year's presidential campaign said the U.S. leader's decision condemns this generation and those to come and would leave a dark legacy just to satisfy your greediness.	Wherever we live whoever we are we all share the same responsibility make our planet great again Macron added.	U.N. Secretary General Antonio Guterres called the U.S. withdrawal from the Paris climate agreement a major disappointment and said it was crucial that the United States remains a leader on environmental issues according to his spokesman.	True
If the human race wants a future that looks like utopia and not dystopia it needs to address such concerns Lagarde said predicting that in 50 years time oil will be a secondary commodity since green energy will have moved into prominence.	As environmental activists jet around the world complaining of carbon footprints and preaching renewable energy they have been remarkably silent regarding the real and present menace that is wiping out millions of human beings around the world.	This announcement drew fierce criticism from world leaders and activists with former UN secretary general Ban Ki moon accusing Trump of standing on the wrong side of history.	Speaking before a major petroleum producing nation Lagarde hastened to add that these necessary measures are well understood in Saudi Arabia.	Recent reports however suggest that Trumps move has drawn numerous countries in his wake with a number of other nations quietly withdrawing from the Paris energy goals.	True
Thus our analysts ignored soundbites which merely showcased the traditional party line Republicans supporting Trump Democrats criticizing him and instead tallied evaluative statements which imparted a clear positive or negative tone to the story such as statements from experts presented as non partisan voters or opinionated statements from the networks own reporters.	Instead it covers specifically the coverage of President Trumps environmental agenda on ABC World News Tonight CBS Evening News and NBC Nightly News.	The most consistent factor in all of this coverage was the criticism.	Methodology Our measure of spin was designed to isolate the networks own slant not the back and forth of partisan politics.	However before stating this position Reynolds noted that most climate scientists the United Nations as well as NASA dismiss these arguments as propaganda for fossil fuels.	True
Jennifer Marlon a research scientist at the Yale Program on Climate Change Communication said the divergence in the way American perceive the weather is being driven by factors including the news they consume and their social circles.	Last year the Yale program which carries out scientific research on public knowledge about climate change set out to map the partisan divide on how people perceive the effects of global warming across the United States.	It has a credibility interval a measure of precision of 2 percentage points up or down.	The ReutersIpsos poll was conducted online in English between June 11 and 14 and gathered responses from 3281 people.	Scientists and researchers at the University of Michigan the University of Exeter and others came to a similar conclusion in a 2018 study which found that political bias and partisan news reporting can affect whether people indicate experiencing certain extreme weather events.	True
