The 2004 tsunami triggered by an earthquake off the Indonesian island of Sumatra killed 226000 across the Indian Ocean including more than 120000 in Indonesia.	Video on social media shows people screaming and fleeing in panic and a mosque amongst the buildings damaged.	The situation is chaotic people are running on the streets and buildings collapsed.	Officials have reported five deaths but it is not clear if those were as a result of the tsunami.	Last month a series of earthquakes struck the Indonesian island of Lombok killing hundreds of people the biggest on 5 August killed more than 460.	False
The authors conclude that 'national security can and must be pursued with an approach that preserves our natural heritage.'	One of its authors a leading professor from Stanford condemned the US border wall project branding it a 'crime against biodiversity'.	ProfessorDirzo a professor of biology at Stanford said 'The bordersis an ecological theatre where evolution has engendered a plethora of plays.	ProfessorDirzo a professor of biology at Stanford said 'The borderis an ecological theater where evolution has engendered a plethora of plays.	Some of the recommendations include Following existing environmental laws taking action to mitigate ecological harm and forgoing physical barriers in particularly sensitive areas.	False
Like this story?	Meanwhile some NGOs have questioned the economic rationale behind the sale arguing that the way in which federal assets are sold off does not serve the best interests of US taxpayers.	Trump is selling off our oceans and selling out coastal communities and marine life to the oil industry said Kristen Monsell oceans program legal director at the Center for Biological Diversity.	The Center for American Progress a left leaning policy think tank has echoed this statement saying in a statement that offering a nearly unrestricted supply in a low demand market with a cut rate royalty and almost no competition is bad policy and an inexcusable waste of taxpayer resources.	he said.	False
SANDERS CALLS FOR 'REGISTRY OF DISREPUTABLE FEDERAL LAW ENFORCEMENT OFFICERS' CUTTING PRISON POPULATION IN HALF The Vermont senator has long been an advocate for the Green New Deal but only this year has it become a central policy for many of those seeking the Democratic nomination for president.	He also promises justice for frontline communities via a 40 billion Climate Justice Resiliency Fund as well as an extra 200 billion to the Green Climate Fund.	introduced a formal resolution on it which stalled in the Senate but drewsupport from a number of 2020 hopefuls.	This year it was given a big push in Congress when Rep. Alexandria Ocasio Cortez D N.Y. and Sen. Ed Markey D Mass.	In a nod to the social justice part of the plan he says that the deal is an opportunity to uproot historical injustices and inequities to advance social racial and economic justice including redressing the exclusion of black brown Native Americanand other vulnerable communities from the programs that made up the original New Deal.	False
Driven by an anti immigrant agenda the Trump administration is callously putting construction of an environmentally and culturally destructive border wall above water resources for communities on both sides of the border federally protected lands clean air and the lives of hundreds of endangered species all while turning a blind eye to the vital relationships of cross border communities and our longstanding values as a nation she said in a statement.	Trump wants to scare people into letting him ignore the law and endanger wildlife and people Brian Segee an attorney with the Center for Biological Diversity said in a statement.	Trumps wall is a divisive symbol of fear and hatred and it does real harm to the landscape and communities.	Despite sidestepping these laws DHS is committed to responsible environmental stewardship and will continue to assess potential impacts coordinate with relevant stakeholders and to the extent possible offset or mitigate potential impacts department spokesman Carlos Diaz said in an email to HuffPost.	Between 2005 and 2008 the department invoked that authority five times according to the agency.	False
We cant sit back and just do nothing while people are getting sick and dying especially when you know theres another way.	My message to you Mr. President is that as a public servant and especially as a president your first and most important responsibility is to protect the people Schwarzenegger begins.	The trouble is President Trump would heartily agree with Schwarzeneggers point while perhaps debating the exact statistics.	But this has nothing to do with the Paris climate accord.	Meanwhile he should probably think about terminating that video.	False
For years now its been clear that blocking environmental regulations and obstructing action on climate change are top Republican Party priorities.	The actual Paris deal agreed to by 195 countries in December 2015 is aspirational rather than binding calling on countries to set goals for emissions reduction.	The GOPs leading politicians and media outlets have tended to praise fossil fuel companies and ignore or cast doubt on climate science.	President Donald Trump announced his decision to pull the United States out of the Paris climate accord at 3 pm Eastern in the White House Rose Garden.	The Associated Presss Jill Colvin and Julie Pace though report that Trumps decision may not be entirely clear cut and that aides continued to deliberate on caveats in the language.	False
The numbers don't lie.	What we need now is global political will and a new sense of urgency.	It is very worrying.	We are still emitting far too much and this needs to be reversed said Erik Solheim head of UN Environment.	Despite the declaration by President Trump that he intends to take the US out of the deal negotiators meeting in Germany will be aiming to advance and clarify the rulebook of the Paris agreement.	False
California Gov.	We're for clean air and water but at the same time we're for reasonable regulations Deputy Interior Secretary David Bernhardt told reporters.	Its bloody combat.	The Associated Press contributed to this report.	Its bad and how we counteract it is with a climate summit with normal people respecting the truth and communicating that with other normal people and combating the President of the United States in what are lies distortions and quite frankly bizarre behavior.	False
Because if you fully understood the situation and still kept on failing to act then you would be evil.	You are failing us.	Right here right now is where we draw the line.	People are suffering.	And all you can talk about is money and fairytales of eternal economic growth.	False
Theres a resolution that has a dream but theres no bill theres no contents at all.	Both lawmakers were responding to a question asked by Axios Amy Harder during the event.	Republicans on the other hand want to get Democrats on the record in support of a proposal they see as socialism.	Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience.	RELATED John Kasich Praises The Green New Deal However Senate Democrats are trying to avoid having to vote on the Green New Deal resolution.	False
