id,_source,_mbfc,_opinion,_year,_text,ar1_LL,ar1_CA,ar1_AR,ar1_DA,ar1a_LL,ar1a_CA,ar1a_AR,ar1a_DA,ar2_LL,ar2_CA,ar2_AR,ar2_DA,ar3_LL,ar3_CA,ar3_AR,ar3_DA,ar4_LL,ar4_CA,ar4_AR,ar4_DA,ar5_LL,ar5_CA,ar5_AR,ar5_DA,hi1_LL,hi1_CA,hi1_AR,hi1_DA,hi2_LL,hi2_CA,hi2_AR,hi2_DA,hi5_LL,hi5_CA,hi5_AR,hi5_DA,co1_LL,co1_CA,co1_AR,co1_DA,co2_LL,co2_CA,co2_AR,co2_DA,co3_LL,co3_CA,co3_AR,co3_DA,mo1_LL,mo1_CA,mo1_AR,mo1_DA,mo2_LL,mo2_CA,mo2_AR,mo2_DA,mo3_LL,mo3_CA,mo3_AR,mo3_DA,ec1_LL,ec1_CA,ec1_AR,ec1_DA,ec2_LL,ec2_CA,ec2_AR,ec2_DA,ec3_LL,ec3_CA,ec3_AR,ec3_DA,comm_LL,comm_CA,comm_AR,comm_DA,ar6_LL,ar6_CA,ar6_AR,ar6_DA,ar7_LL,ar7_CA,ar7_AR,ar7_DA,hi3_LL,hi3_CA,hi3_AR,hi3_DA,hi4_LL,hi4_CA,hi4_AR,hi4_DA,co4_LL,co4_CA,co4_AR,co4_DA,ar6_ents_LL,ar6_ents_CA,ar6_ents_AR,ar6_ents_DA,ar7_ents_LL,ar7_ents_CA,ar7_ents_AR,ar7_ents_DA,hi3_ents_LL,hi3_ents_CA,hi3_ents_AR,hi3_ents_DA,hi4_ents_LL,hi4_ents_CA,hi4_ents_AR,hi4_ents_DA,ar1a_ents_LL,ar1a_ents_CA,ar1a_ents_AR,ar1a_ents_DA,co4_ents_winner_LL,co4_ents_winner_CA,co4_ents_winner_AR,co4_ents_winner_DA,co4_ents_loser_LL,co4_ents_loser_CA,co4_ents_loser_AR,co4_ents_loser_DA
286,breitbart,questionable_source,False,2019,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,yes,-1,-1,no,no,-1,-1,no,yes,-1,-1,,,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,[],[],-1,-1,['Progressive political elites 0'],['Progressive political elites 0'],-1,-1,['other'  'ordinary citizens'],['other'  'ordinary citizens'],-1,-1,['Progressive political elites 0'],['Progressive political elites 0'],-1,-1,['Bokhari: Elites Want You to Eat Bugs  Live in Sewer Pipes  and Submit to Population Control'],['Bokhari: Elites Want You to Eat Bugs  Live in Sewer Pipes  and Submit to Population Control'],-1,-1,[],['Progressive political elites 0'],-1,-1,[],['people 3'],-1,-1
30,nationalreview,right_bias,False,2019,-1,yes,yes,-1,yes,yes,yes,-1,no,no,no,-1,no,no,no,-1,no,yes,yes,-1,no,no,no,-1,yes,yes,yes,-1,yes,yes,yes,-1,no,no,no,-1,no,yes,yes,-1,yes,yes,yes,-1,yes,yes,yes,-1,yes,no,yes,-1,no,no,no,-1,no,no,no,-1,no,yes,no,-1,no,no,no,-1,no,yes,yes,-1,yes,,,-1,,no,no,-1,no,yes,yes,-1,yes,yes,yes,-1,yes,no,no,-1,no,no,yes,-1,no,[],[],-1,[],['The â\x80\x98 Extinction Rebellion â\x80\x99 protesters 0'],['The â\x80\x98 Extinction Rebellion â\x80\x99 protesters 0'],-1,['The â\x80\x98 Extinction Rebellion â\x80\x99 protesters 0'],['other'  'Environmental movement'],['other'  'businesses; law enforcement '],-1,['other'  'London businesses; law enforcement'],[],[],-1,[],['The U.K.â\x80\x99s Version of the Green New Deal Has No Idea What Itâ\x80\x99s Doing'],['he U.K.â\x80\x99s Version of the Green New Deal Has No Idea What Itâ\x80\x99s Doing'],-1,['Extinction Rebellion protestors in the UK have unrealistic and impractical aims for climate policy'],[],['no_winner'],-1,[],[],['other'  'London; businesses'],-1,[]
481,bbc,left_center_bias,False,2018,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1
573,dailymail,questionable_source,False,2018,-1,yes,-1,-1,not_relevant,yes,-1,-1,not_relevant,yes,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,yes,-1,-1,not_relevant,yes,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,,-1,-1,not_relevant,yes,-1,-1,not_relevant,yes,-1,-1,not_relevant,yes,-1,-1,not_relevant,no,-1,-1,not_relevant,no,-1,-1,not_relevant,['other'  'environmental laws.'],-1,-1,not_relevant,['US President Donald Trump 0'],-1,-1,not_relevant,['other'  'local wildlife near US-Mexico border.'],-1,-1,not_relevant,[],-1,-1,not_relevant,"[""Trump's border wall between US and Mexico will threaten 1 500 species""]",-1,-1,not_relevant,[],-1,-1,not_relevant,[],-1,-1,not_relevant
559,rt,questionable_source,False,2018,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,,,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,[],[],-1,-1,['Trump 0'],['Trump 0'],-1,-1,['other'  'Marine life in Gulf of Mexico'],['our 3'],-1,-1,['other'  'Oil industry'],['other'  'the oil industry'],-1,-1,['â\x80\x98Next Deepwater Horizon disaster a matter of timeâ\x80\x99: Critics slam record offshore oil lease sale'],['â\x80\x98Next Deepwater Horizon disaster a matter of timeâ\x80\x99: Critics slam record offshore oil lease sale'],-1,-1,[],[],-1,-1,[],[],-1,-1
26,thedailycaller,right_bias,False,2019,-1,yes,-1,-1,-1,yes,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,yes,-1,-1,-1,no,-1,-1,-1,yes,-1,-1,-1,no,-1,-1,-1,yes,-1,-1,-1,yes,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,,-1,-1,-1,no,-1,-1,-1,yes,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,[],-1,-1,-1,['Rep. Alexandria Ocasio - Cortez and Sen. Ed Markey 3'],-1,-1,-1,[],-1,-1,-1,[],-1,-1,-1,['Green New Deal Dems Toss Their Support Behind Report Pushing To Fast-Track Population Control'],-1,-1,-1,[],-1,-1,-1,[],-1,-1,-1
115,thehuffingtonpost,left_bias,False,2019,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,,,-1,-1,yes,no,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,no,yes,-1,-1,no,no,-1,-1,['other'  'Clean Power Plan'],[],-1,-1,['other'  'Trump administration; greenhouse gas emissions'],['The Trump administration 3'],-1,-1,[],['other'  'public health; federal and Native American land'],-1,-1,[],['other'  'U.S economy'],-1,-1,['U.S. Emissions Spike Undercuts Trump Administration Push For Fossil Fuel Use'],['U.S. Emissions Spike Undercuts Trump Administration Push For Fossil Fuel Use'],-1,-1,[],[],-1,-1,[],[],-1,-1
40,foxnews,right_bias,False,2019,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,,,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,no,-1,-1,no,no,-1,-1,['the Green New Deal 2'],['Sanders 1'],-1,-1,[],[],-1,-1,[],[],-1,-1,['other'  'the US Economy'],[],-1,-1,['Sanders releases $16 trillion â\x80\x98Green New Dealâ\x80\x99 plan  promises it will â\x80\x98pay for itselfâ\x80\x99'],['Sanders releases $16 trillion â\x80\x98Green New Dealâ\x80\x99 plan  promises it will â\x80\x98pay for itselfâ\x80\x99'],-1,-1,[],[],-1,-1,[],[],-1,-1
698,The Huffington Post,left_bias,False,2017,-1,yes,-1,-1,-1,yes,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,yes,-1,-1,-1,yes,-1,-1,-1,yes,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,yes,-1,-1,-1,yes,-1,-1,-1,yes,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,yes,-1,-1,-1,yes,-1,-1,-1,no,-1,-1,-1,,-1,-1,-1,no,-1,-1,-1,yes,-1,-1,-1,yes,-1,-1,-1,no,-1,-1,-1,no,-1,-1,-1,[],-1,-1,-1,['The Trump administration 0'],-1,-1,-1,['other'  '93 threatened   endangered and candidate species'],-1,-1,-1,[],-1,-1,-1,['Trump To Forgo Environmental Laws To Expedite Border Wall Construction'],-1,-1,-1,[],-1,-1,-1,[],-1,-1,-1
833,Breitbart,questionable_source,False,2017,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,no,yes,-1,-1,yes,n/a: problem is resolved,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,,,-1,-1,yes,no,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,yes,-1,-1,no,yes,-1,-1,['other'  'the EPA'],[],-1,-1,['Schwarzenegger 2'],['Schwarzenegger 2'],-1,-1,['other'  'the United States '],[],-1,-1,[],['other'  'environment; humanity '],-1,-1,['In Embarrassing Anti-Trump Rant  Schwarzenegger Misses the Point of Paris Climate Deal'],['In Embarrassing Anti-Trump Rant  Schwarzenegger Misses the Point of Paris Climate Deal'],-1,-1,[],['no_winner'],-1,-1,[],['Schwarzenegger 2'],-1,-1
162,thenewyorktimes,left_center_bias,False,2019,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,,,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,no,-1,-1,['other'  'Senator Bernie Sanders; the United States'],['other'  'Green New Deal'],-1,-1,['other'  'planet-warming greenhouse gases.'],['other'  'global warming; economic inequality'],-1,-1,[],[],-1,-1,[],[],-1,-1,['Bernie Sandersâ\x80\x99s â\x80\x98Green New Dealâ\x80\x99: A $16 Trillion Climate Plan'],['Bernie Sandersâ\x80\x99s â\x80\x98Green New Dealâ\x80\x99: A $16 Trillion Climate Plan'],-1,-1,['Senator Bernie Sanders 0'],[],-1,-1,['Inslee 1'],[],-1,-1
