
==========================================
ID:	286
	_ID	breitbart--2019-09-21--Bokhari Elites Want You to Eat Bugs Live in Sewer Pipes and Submit to Population Control
	_mbfc	questionable_source
	_opinion	False
	_source	breitbart
	_text	-1
	_year	2019
	ar1	['yes', 'yes', -1, -1]
	ar1a	['yes', 'yes', -1, -1]
	ar1a_ents	[['Bokhari: Elites Want You to Eat Bugs, Live in Sewer Pipes, and Submit to Population Control'], ['Bokhari: Elites Want You to Eat Bugs, Live in Sewer Pipes, and Submit to Population Control'], -1, -1]
	ar2	['no', 'no', -1, -1]
	ar3	['no', 'no', -1, -1]
	ar4	['yes', 'yes', -1, -1]
	ar5	['yes', 'yes', -1, -1]
	ar6	['no', 'no', -1, -1]
	ar6_ents	[[], [], -1, -1]
	ar7	['yes', 'yes', -1, -1]
	ar7_ents	[['Progressive political elites 0'], ['Progressive political elites 0'], -1, -1]
	co1	['yes', 'yes', -1, -1]
	co2	['yes', 'yes', -1, -1]
	co3	['no', 'yes', -1, -1]
	co4	['no', 'yes', -1, -1]
	co4_ents_loser	[[], ['people 3'], -1, -1]
	co4_ents_winner	[[], ['Progressive political elites 0'], -1, -1]
	comm	['', '', -1, -1]
	ec1	['no', 'yes', -1, -1]
	ec2	['no', 'no', -1, -1]
	ec3	['no', 'yes', -1, -1]
	hi1	['yes', 'yes', -1, -1]
	hi2	['yes', 'yes', -1, -1]
	hi3	['yes', 'yes', -1, -1]
	hi3_ents	[['other', 'ordinary citizens'], ['other', 'ordinary citizens'], -1, -1]
	hi4	['yes', 'yes', -1, -1]
	hi4_ents	[['Progressive political elites 0'], ['Progressive political elites 0'], -1, -1]
	hi5	['no', 'yes', -1, -1]
	mo1	['yes', 'yes', -1, -1]
	mo2	['no', 'no', -1, -1]
	mo3	['no', 'no', -1, -1]

==========================================
ID:	30
	_ID	nationalreview--2019-04-24--The UKs Version of the Green New Deal Has No Idea What Its Doing
	_mbfc	right_bias
	_opinion	False
	_source	nationalreview
	_text	-1
	_year	2019
	ar1	['yes', 'yes', -1, 'yes']
	ar1a	['yes', 'yes', -1, 'no']
	ar1a_ents	[['The U.K.â\x80\x99s Version of the Green New Deal Has No Idea What Itâ\x80\x99s Doing'], ['he U.K.â\x80\x99s Version of the Green New Deal Has No Idea What Itâ\x80\x99s Doing'], -1, ['Extinction Rebellion protestors in the UK have unrealistic and impractical aims for climate policy']]
	ar2	['no', 'no', -1, 'no']
	ar3	['no', 'no', -1, 'no']
	ar4	['yes', 'yes', -1, 'no']
	ar5	['no', 'no', -1, 'yes']
	ar6	['no', 'no', -1, 'no']
	ar6_ents	[[], [], -1, []]
	ar7	['yes', 'yes', -1, 'yes']
	ar7_ents	[['The â\x80\x98 Extinction Rebellion â\x80\x99 protesters 0'], ['The â\x80\x98 Extinction Rebellion â\x80\x99 protesters 0'], -1, ['The â\x80\x98 Extinction Rebellion â\x80\x99 protesters 0']]
	co1	['yes', 'yes', -1, 'yes']
	co2	['yes', 'yes', -1, 'yes']
	co3	['yes', 'yes', -1, 'yes']
	co4	['no', 'yes', -1, 'no']
	co4_ents_loser	[[], ['other', 'London; businesses'], -1, []]
	co4_ents_winner	[[], ['no_winner'], -1, []]
	comm	['', '', -1, '']
	ec1	['yes', 'no', -1, 'no']
	ec2	['no', 'no', -1, 'no']
	ec3	['yes', 'yes', -1, 'yes']
	hi1	['yes', 'yes', -1, 'yes']
	hi2	['yes', 'yes', -1, 'no']
	hi3	['yes', 'yes', -1, 'yes']
	hi3_ents	[['other', 'Environmental movement'], ['other', 'businesses; law enforcement '], -1, ['other', 'London businesses; law enforcement']]
	hi4	['no', 'no', -1, 'no']
	hi4_ents	[[], [], -1, []]
	hi5	['no', 'no', -1, 'no']
	mo1	['no', 'yes', -1, 'no']
	mo2	['no', 'no', -1, 'no']
	mo3	['no', 'no', -1, 'no']

==========================================
ID:	481
	_ID	bbc--2018-09-28--Tsunami hits Indonesias Palu after strong earthquake
	_mbfc	left_center_bias
	_opinion	False
	_source	bbc
	_text	-1
	_year	2018
	ar1	['not_relevant', -1, -1, -1]
	ar1a	['not_relevant', -1, -1, -1]
	ar1a_ents	['not_relevant', -1, -1, -1]
	ar2	['not_relevant', -1, -1, -1]
	ar3	['not_relevant', -1, -1, -1]
	ar4	['not_relevant', -1, -1, -1]
	ar5	['not_relevant', -1, -1, -1]
	ar6	['not_relevant', -1, -1, -1]
	ar6_ents	['not_relevant', -1, -1, -1]
	ar7	['not_relevant', -1, -1, -1]
	ar7_ents	['not_relevant', -1, -1, -1]
	co1	['not_relevant', -1, -1, -1]
	co2	['not_relevant', -1, -1, -1]
	co3	['not_relevant', -1, -1, -1]
	co4	['not_relevant', -1, -1, -1]
	co4_ents_loser	['not_relevant', -1, -1, -1]
	co4_ents_winner	['not_relevant', -1, -1, -1]
	comm	['not_relevant', -1, -1, -1]
	ec1	['not_relevant', -1, -1, -1]
	ec2	['not_relevant', -1, -1, -1]
	ec3	['not_relevant', -1, -1, -1]
	hi1	['not_relevant', -1, -1, -1]
	hi2	['not_relevant', -1, -1, -1]
	hi3	['not_relevant', -1, -1, -1]
	hi3_ents	['not_relevant', -1, -1, -1]
	hi4	['not_relevant', -1, -1, -1]
	hi4_ents	['not_relevant', -1, -1, -1]
	hi5	['not_relevant', -1, -1, -1]
	mo1	['not_relevant', -1, -1, -1]
	mo2	['not_relevant', -1, -1, -1]
	mo3	['not_relevant', -1, -1, -1]

==========================================
ID:	573
	_ID	dailymail--2018-07-24--Trumps border wall between US and Mexico will threaten 1500 species
	_mbfc	questionable_source
	_opinion	False
	_source	dailymail
	_text	-1
	_year	2018
	ar1	['yes', -1, -1, 'not_relevant']
	ar1a	['yes', -1, -1, 'not_relevant']
	ar1a_ents	[["Trump's border wall between US and Mexico will threaten 1,500 species"], -1, -1, 'not_relevant']
	ar2	['yes', -1, -1, 'not_relevant']
	ar3	['no', -1, -1, 'not_relevant']
	ar4	['no', -1, -1, 'not_relevant']
	ar5	['no', -1, -1, 'not_relevant']
	ar6	['yes', -1, -1, 'not_relevant']
	ar6_ents	[['other', 'environmental laws.'], -1, -1, 'not_relevant']
	ar7	['yes', -1, -1, 'not_relevant']
	ar7_ents	[['US President Donald Trump 0'], -1, -1, 'not_relevant']
	co1	['yes', -1, -1, 'not_relevant']
	co2	['yes', -1, -1, 'not_relevant']
	co3	['no', -1, -1, 'not_relevant']
	co4	['no', -1, -1, 'not_relevant']
	co4_ents_loser	[[], -1, -1, 'not_relevant']
	co4_ents_winner	[[], -1, -1, 'not_relevant']
	comm	['', -1, -1, 'not_relevant']
	ec1	['no', -1, -1, 'not_relevant']
	ec2	['no', -1, -1, 'not_relevant']
	ec3	['no', -1, -1, 'not_relevant']
	hi1	['no', -1, -1, 'not_relevant']
	hi2	['no', -1, -1, 'not_relevant']
	hi3	['yes', -1, -1, 'not_relevant']
	hi3_ents	[['other', 'local wildlife near US-Mexico border.'], -1, -1, 'not_relevant']
	hi4	['no', -1, -1, 'not_relevant']
	hi4_ents	[[], -1, -1, 'not_relevant']
