
==========================================
ID:	286
	_ID	breitbart--2019-09-21--Bokhari Elites Want You to Eat Bugs Live in Sewer Pipes and Submit to Population Control
	_mbfc	questionable_source
	_opinion	False
	_source	breitbart
	_text	-1
	_year	2019
	ar1	['yes', ['yes', 'yes']]
	ar1a	['yes', ['yes', 'yes']]
	ar2	['no', ['no', 'no']]
	ar3	['no', ['no', 'no']]
	ar4	['yes', ['yes', 'yes']]
	ar5	['yes', ['yes', 'yes']]
	ar6	['no', ['no', 'no']]
	ar7	['yes', ['yes', 'yes']]
	co1	['yes', ['yes', 'yes']]
	co2	['yes', ['yes', 'yes']]
	co3	['NO AGREEMENT', ['no', 'yes']]
	co4	['NO AGREEMENT', ['no', 'yes']]
	ec1	['NO AGREEMENT', ['no', 'yes']]
	ec2	['no', ['no', 'no']]
	ec3	['NO AGREEMENT', ['no', 'yes']]
	hi1	['yes', 'yes', -1, -1]
	hi2	['yes', ['yes', 'yes']]
	hi3	['yes', ['yes', 'yes']]
	hi4	['yes', ['yes', 'yes']]
	hi5	['NO AGREEMENT', ['no', 'yes']]
	mo1	['yes', ['yes', 'yes']]
	mo2	['no', ['no', 'no']]
	mo3	['no', ['no', 'no']]

==========================================
ID:	30
	_ID	nationalreview--2019-04-24--The UKs Version of the Green New Deal Has No Idea What Its Doing
	_mbfc	right_bias
	_opinion	False
	_source	nationalreview
	_text	-1
	_year	2019
	ar1	['yes', ['yes', 'yes', 'yes']]
	ar1a	['yes', ['yes', 'yes', 'no']]
	ar2	['no', ['no', 'no', 'no']]
	ar3	['no', ['no', 'no', 'no']]
	ar4	['yes', ['yes', 'yes', 'no']]
	ar5	['no', ['no', 'no', 'yes']]
	ar6	['no', ['no', 'no', 'no']]
	ar7	['yes', ['yes', 'yes', 'yes']]
	co1	['yes', ['yes', 'yes', 'yes']]
	co2	['yes', ['yes', 'yes', 'yes']]
	co3	['yes', ['yes', 'yes', 'yes']]
	co4	['no', ['no', 'yes', 'no']]
	ec1	['no', ['yes', 'no', 'no']]
	ec2	['no', ['no', 'no', 'no']]
	ec3	['yes', ['yes', 'yes', 'yes']]
	hi1	['yes', 'yes', -1, 'yes']
	hi2	['yes', ['yes', 'yes', 'no']]
	hi3	['yes', ['yes', 'yes', 'yes']]
	hi4	['no', ['no', 'no', 'no']]
	hi5	['no', ['no', 'no', 'no']]
	mo1	['no', ['no', 'yes', 'no']]
	mo2	['no', ['no', 'no', 'no']]
	mo3	['no', ['no', 'no', 'no']]

==========================================
ID:	559
	_ID	rt--2018-03-21--Next Deepwater Horizon disaster a matter of time Critics slam record offshore oil lease sale
	_mbfc	questionable_source
	_opinion	False
	_source	rt
	_text	-1
	_year	2018
	ar1	['yes', ['yes', 'yes']]
	ar1a	['yes', ['yes', 'yes']]
	ar2	['no', ['no', 'no']]
	ar3	['no', ['no', 'no']]
	ar4	['yes', ['yes', 'yes']]
	ar5	['yes', ['yes', 'yes']]
	ar6	['no', ['no', 'no']]
	ar7	['yes', ['yes', 'yes']]
	co1	['yes', ['yes', 'yes']]
	co2	['no', ['no', 'no']]
	co3	['yes', ['yes', 'yes']]
	co4	['no', ['no', 'no']]
	ec1	['yes', ['yes', 'yes']]
	ec2	['NO AGREEMENT', ['no', 'yes']]
	ec3	['yes', ['yes', 'yes']]
	hi1	['yes', 'yes', -1, -1]
	hi2	['no', ['no', 'no']]
	hi3	['yes', ['yes', 'yes']]
	hi4	['yes', ['yes', 'yes']]
	hi5	['no', ['no', 'no']]
	mo1	['no', ['no', 'no']]
	mo2	['no', ['no', 'no']]
	mo3	['no', ['no', 'no']]

==========================================
ID:	115
	_ID	thehuffingtonpost--2019-01-08--US Emissions Spike Undercuts Trump Administration Push For Fossil Fuel Use
	_mbfc	left_bias
	_opinion	False
	_source	thehuffingtonpost
	_text	-1
	_year	2019
	ar1	['yes', ['yes', 'yes']]
	ar1a	['yes', ['yes', 'yes']]
	ar2	['NO AGREEMENT', ['yes', 'no']]
	ar3	['no', ['no', 'no']]
	ar4	['yes', ['yes', 'yes']]
	ar5	['yes', ['yes', 'yes']]
	ar6	['NO AGREEMENT', ['yes', 'no']]
	ar7	['yes', ['yes', 'yes']]
	co1	['yes', ['yes', 'yes']]
	co2	['no', ['no', 'no']]
	co3	['yes', ['yes', 'yes']]
	co4	['no', ['no', 'no']]
	ec1	['no', ['no', 'no']]
	ec2	['no', ['no', 'no']]
	ec3	['yes', ['yes', 'yes']]
	hi1	['no', 'yes', -1, -1]
	hi2	['no', ['no', 'no']]
	hi3	['NO AGREEMENT', ['no', 'yes']]
	hi4	['NO AGREEMENT', ['no', 'yes']]
	hi5	['no', ['no', 'no']]
	mo1	['no', ['no', 'no']]
	mo2	['no', ['no', 'no']]
	mo3	['no', ['no', 'no']]

==========================================
ID:	40
	_ID	foxnews--2019-08-22--Sanders releases 16 trillion Green New Deal plan promises it will pay for itself
	_mbfc	right_bias
	_opinion	False
	_source	foxnews
	_text	-1
	_year	2019
	ar1	['yes', ['yes', 'yes']]
	ar1a	['yes', ['yes', 'yes']]
	ar2	['yes', ['yes', 'yes']]
	ar3	['no', ['no', 'no']]
	ar4	['yes', ['yes', 'yes']]
	ar5	['no', ['no', 'no']]
	ar6	['yes', ['yes', 'yes']]
	ar7	['no', ['no', 'no']]
	co1	['NO AGREEMENT', ['no', 'yes']]
	co2	['no', ['no', 'no']]
	co3	['no', ['no', 'no']]
	co4	['no', ['no', 'no']]
	ec1	['yes', ['yes', 'yes']]
	ec2	['yes', ['yes', 'yes']]
	ec3	['yes', ['yes', 'yes']]
	hi1	['no', 'no', -1, -1]
	hi2	['no', ['no', 'no']]
	hi3	['no', ['no', 'no']]
	hi4	['NO AGREEMENT', ['yes', 'no']]
	hi5	['no', ['no', 'no']]
	mo1	['no', ['no', 'no']]
	mo2	['no', ['no', 'no']]
	mo3	['no', ['no', 'no']]

==========================================
ID:	833
	_ID	Breitbart--2017-06-02--In Embarrassing Anti-Trump Rant Schwarzenegger Misses the Point of Paris Climate Deal.txt
	_mbfc	questionable_source
	_opinion	False
	_source	Breitbart
	_text	-1
	_year	2017
	ar1	['yes', ['yes', 'yes']]
	ar1a	['yes', ['yes', 'yes']]
	ar2	['NO AGREEMENT', ['no', 'yes']]
	ar3	['NO AGREEMENT', ['no', 'yes']]
	ar4	['NO AGREEMENT', ['yes', 'n/a: problem is resolved']]
	ar5	['no', ['no', 'no']]
	ar6	['NO AGREEMENT', ['yes', 'no']]
	ar7	['yes', ['yes', 'yes']]
	co1	['yes', ['yes', 'yes']]
	co2	['yes', ['yes', 'yes']]
	co3	['NO AGREEMENT', ['no', 'yes']]
	co4	['NO AGREEMENT', ['no', 'yes']]
	ec1	['no', ['no', 'no']]
	ec2	['no', ['no', 'no']]
	ec3	['no', ['no', 'no']]
	hi1	['yes', 'yes', -1, -1]
	hi2	['yes', ['yes', 'yes']]
	hi3	['NO AGREEMENT', ['yes', 'no']]
	hi4	['NO AGREEMENT', ['no', 'yes']]
	hi5	['no', ['no', 'no']]
