count,source,aggregated_label,"Pew Research Center_known_by_40%","Pew Research Center_total","Pew Research Center_consistently_liberal","Pew Research Center_mostly_liberal","Pew Research Center_mixed","Pew Research Center_mostly conservative","Pew Research Center_consistently conservative","Wikipedia_is_fake","Open Sources_reliable","Open Sources_fake","Open Sources_unreliable","Open Sources_bias","Open Sources_conspiracy","Open Sources_hate","Open Sources_junksci","Open Sources_rumor","Open Sources_blog","Open Sources_clickbait","Open Sources_political","Open Sources_satire","Open Sources_state","Media Bias / Fact Check_label","Media Bias / Fact Check_factual_reporting","Media Bias / Fact Check_extreme_left","Media Bias / Fact Check_right","Media Bias / Fact Check_extreme_right","Media Bias / Fact Check_propaganda","Media Bias / Fact Check_fake_news","Media Bias / Fact Check_some_fake_news","Media Bias / Fact Check_failed_fact_checks","Media Bias / Fact Check_conspiracy","Media Bias / Fact Check_pseudoscience","Media Bias / Fact Check_hate_group","Media Bias / Fact Check_anti_islam","Media Bias / Fact Check_nationalism","Allsides_bias_rating","Allsides_community_agree","Allsides_community_disagree","Allsides_community_label","BuzzFeed_leaning","PolitiFact_Pants on Fire!","PolitiFact_False","PolitiFact_Mostly False","PolitiFact_Half-True","PolitiFact_Mostly True","PolitiFact_True"
352,activistpost,2,,,,,,,,,,,,,1,,,,,,,,,conspiracy_pseudoscience,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
1535,bbc,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,7527,7177,somewhat agree,,,,,,,
47,bipartisanreport,2,,,,,,,,,,,,2,,,,,,1,,,,questionable_source,,1,0,0,1,0,0,0,0,0,0,0,0,,,,,left,0,1,0,0,0,0
632,breitbart,2,0,0,-1,-1,0,1,1,,,,2,3,,,,,,,1,,,questionable_source,,0,0,1,1,0,0,1,1,0,0,0,0,Right,11911,6546,agree,right,2,2,0,0,1,0
139,businessinsider,0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,1561,1665,somewhat disagree,,,,,,,
109,buzzfeed,1,0,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,left_center_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,3062,4197,somewhat disagree,,1,0,0,0,0,0
655,cbsnews,0,1,1,1,1,1,0,-1,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,4320,3857,somewhat agree,,,,,,,
165,cnbc,0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,1320,3388,strongly disagree,,,,,,,
746,cnn,1,1,1,1,1,1,0,-1,,,,,,,,,,,,,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,23421,24137,somewhat disagree,,0,0,1,0,0,0
132,dailykos,1,0,-1,1,0,-1,-1,-1,,,,,,,,,,,2,1,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Left,3796,1525,strongly agree,left,,,,,,
274,dailymail,2,,,,,,,,,,,,,,,,,,,,,,questionable_source,,0,1,0,1,0,1,0,1,0,0,0,0,Right,990,885,somewhat agree,,0,0,1,0,0,0
1584,drudgereport,1,0,0,-1,-1,0,1,1,,,,,2,,,,,,,1,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Right,1631,994,agree,right,2,0,0,0,0,0
